dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DGS,KM-tol-0.0001-maxIter-10,2,1,65451488,41885100,2,04/20/21 33 2021 23:33:20. 640,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451488,41863452,2,04/20/21 33 2021 23:33:21. 654,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4474560,3,04/20/21 33 2021 23:33:19. 661,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,4367000,3,04/20/21 33 2021 23:33:20. 680,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451544,3792080,3,04/20/21 33 2021 23:33:21. 709,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41811528,3,04/20/21 33 2021 23:33:19. 855,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41802188,3,04/20/21 33 2021 23:33:20. 874,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451520,41788576,3,04/20/21 33 2021 23:33:21. 893,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451488,41939784,3,04/20/21 33 2021 23:33:19. 619,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451488,41885100,3,04/20/21 33 2021 23:33:20. 640,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451488,41863452,3,04/20/21 33 2021 23:33:21. 654,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451444,35821076,3,04/20/21 33 2021 23:33:19. 748,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451444,35821324,3,04/20/21 33 2021 23:33:20. 783,train
DGS,KM-tol-0.0001-maxIter-10,2,1,65451444,35584588,3,04/20/21 33 2021 23:33:21. 798,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4543668,0,04/20/21 33 2021 23:33:40. 044,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4510500,0,04/20/21 33 2021 23:33:41. 075,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4395248,0,04/20/21 33 2021 23:33:42. 120,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4543668,1,04/20/21 33 2021 23:33:40. 044,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4510500,1,04/20/21 33 2021 23:33:41. 075,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4395248,1,04/20/21 33 2021 23:33:42. 120,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41948056,1,04/20/21 33 2021 23:33:40. 301,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41797144,1,04/20/21 33 2021 23:33:41. 325,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41784060,1,04/20/21 33 2021 23:33:42. 349,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4543668,2,04/20/21 33 2021 23:33:40. 044,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4510500,2,04/20/21 33 2021 23:33:41. 075,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4395248,2,04/20/21 33 2021 23:33:42. 120,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41948056,2,04/20/21 33 2021 23:33:40. 301,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41797144,2,04/20/21 33 2021 23:33:41. 325,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41784060,2,04/20/21 33 2021 23:33:42. 349,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451488,42007328,2,04/20/21 33 2021 23:33:40. 058,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451488,41829436,2,04/20/21 33 2021 23:33:41. 083,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451488,41819648,2,04/20/21 33 2021 23:33:42. 110,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4543668,3,04/20/21 33 2021 23:33:40. 044,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4510500,3,04/20/21 33 2021 23:33:41. 075,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451544,4395248,3,04/20/21 33 2021 23:33:42. 120,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41948056,3,04/20/21 33 2021 23:33:40. 301,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41797144,3,04/20/21 33 2021 23:33:41. 325,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451520,41784060,3,04/20/21 33 2021 23:33:42. 349,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451488,42007328,3,04/20/21 33 2021 23:33:40. 058,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451488,41829436,3,04/20/21 33 2021 23:33:41. 083,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451488,41819648,3,04/20/21 33 2021 23:33:42. 110,train
DGS,KM-tol-0.0001-maxIter-10,2,2,65451444,35804624,3,04/20/21 33 2021 23:33:40. 395,train
