dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,MLP-tol-0.0001-maxIter-10,2,0,2010443942153,86065301112,2,04/21/21 39 2021 01:39:02. 680,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931394295966,356046593524203,3,04/21/21 39 2021 01:39:00. 788,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931397202723,356046596572258,3,04/21/21 39 2021 01:39:01. 813,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,198931400709678,356046600498449,3,04/21/21 39 2021 01:39:02. 826,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014106359411,82466073244,3,04/21/21 39 2021 01:39:00. 137,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014108443845,82466206839,3,04/21/21 39 2021 01:39:01. 152,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2014109331323,82467025686,3,04/21/21 39 2021 01:39:02. 170,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2010442545183,86064086837,3,04/21/21 39 2021 01:39:00. 641,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2010443012701,86064559775,3,04/21/21 39 2021 01:39:01. 668,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2010443942153,86065301112,3,04/21/21 39 2021 01:39:02. 680,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2104738327599,95190996364,3,04/21/21 39 2021 01:39:00. 345,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2104738795119,95191248027,3,04/21/21 39 2021 01:39:01. 358,train
DGS,MLP-tol-0.0001-maxIter-10,2,0,2104739572592,95192065600,3,04/21/21 39 2021 01:39:02. 372,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931534481447,356047048772518,0,04/21/21 39 2021 01:39:25. 256,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931536054353,356047071178906,0,04/21/21 39 2021 01:39:26. 273,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931538285453,356047073382859,0,04/21/21 39 2021 01:39:27. 292,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931541831461,356047077337696,0,04/21/21 39 2021 01:39:28. 304,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931534481447,356047048772518,1,04/21/21 39 2021 01:39:25. 256,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931536054353,356047071178906,1,04/21/21 39 2021 01:39:26. 273,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931538285453,356047073382859,1,04/21/21 39 2021 01:39:27. 292,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931541831461,356047077337696,1,04/21/21 39 2021 01:39:28. 304,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014206371466,82468472106,1,04/21/21 39 2021 01:39:25. 651,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014211209883,82468599791,1,04/21/21 39 2021 01:39:26. 663,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014211987353,82469418865,1,04/21/21 39 2021 01:39:27. 684,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014212915526,82470132119,1,04/21/21 39 2021 01:39:28. 702,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931534481447,356047048772518,2,04/21/21 39 2021 01:39:25. 256,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931536054353,356047071178906,2,04/21/21 39 2021 01:39:26. 273,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931538285453,356047073382859,2,04/21/21 39 2021 01:39:27. 292,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931541831461,356047077337696,2,04/21/21 39 2021 01:39:28. 304,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014206371466,82468472106,2,04/21/21 39 2021 01:39:25. 651,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014211209883,82468599791,2,04/21/21 39 2021 01:39:26. 663,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014211987353,82469418865,2,04/21/21 39 2021 01:39:27. 684,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014212915526,82470132119,2,04/21/21 39 2021 01:39:28. 702,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010554456196,86066615583,2,04/21/21 39 2021 01:39:25. 148,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010561095406,86066662385,2,04/21/21 39 2021 01:39:26. 161,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010561716940,86067029598,2,04/21/21 39 2021 01:39:27. 177,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010562492568,86067841395,2,04/21/21 39 2021 01:39:28. 189,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931534481447,356047048772518,3,04/21/21 39 2021 01:39:25. 256,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931536054353,356047071178906,3,04/21/21 39 2021 01:39:26. 273,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931538285453,356047073382859,3,04/21/21 39 2021 01:39:27. 292,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,198931541831461,356047077337696,3,04/21/21 39 2021 01:39:28. 304,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014206371466,82468472106,3,04/21/21 39 2021 01:39:25. 651,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014211209883,82468599791,3,04/21/21 39 2021 01:39:26. 663,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014211987353,82469418865,3,04/21/21 39 2021 01:39:27. 684,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2014212915526,82470132119,3,04/21/21 39 2021 01:39:28. 702,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010554456196,86066615583,3,04/21/21 39 2021 01:39:25. 148,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010561095406,86066662385,3,04/21/21 39 2021 01:39:26. 161,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010561716940,86067029598,3,04/21/21 39 2021 01:39:27. 177,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2010562492568,86067841395,3,04/21/21 39 2021 01:39:28. 189,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2104855653172,95193223769,3,04/21/21 39 2021 01:39:25. 111,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2104862342820,95193245620,3,04/21/21 39 2021 01:39:26. 124,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2104862810682,95193606852,3,04/21/21 39 2021 01:39:27. 137,train
DGS,MLP-tol-0.0001-maxIter-10,2,1,2104863740278,95194425785,3,04/21/21 39 2021 01:39:28. 149,train
