dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,LR,4,0,0.2609594159174664,65451572,48371368,0,2,train
DGS,LR,4,0,0.2615499594112117,65451572,48332716,0,3,train
DGS,LR,4,1,0.25677262572089177,65451572,48645400,0,0,train
DGS,LR,4,1,0.2567699978237345,65451572,48645572,0,1,train
DGS,LR,4,1,0.26109979451677645,65451572,48362180,0,2,train
DGS,LR,4,1,0.2617762641361769,65451572,48317904,0,3,train
DGS,LR,4,2,0.2570314430339427,65451572,48628460,0,0,train
DGS,LR,4,2,0.25703260419780294,65451572,48628384,0,1,train
DGS,LR,4,2,0.26705869612487676,65451544,47972140,1,2,train
DGS,LR,4,2,0.27602563508662226,65451544,47385240,2,3,train
DGS,LR,5,2,0.28083407780265657,65451544,47070520,2,3,train
DGS,LR,5,0,0.2660873515833332,65451544,48035716,1,2,train
DGS,LR,5,2,0.2770577268582083,65451544,47317688,2,2,train
DGS,LR,5,2,0.26943003819741823,65451544,47816932,2,1,train
DGS,LR,5,2,0.2692268344349524,65451544,47830232,2,0,train
DGS,LR,5,1,0.2804045081044994,65451544,47098636,2,4,test
DGS,LR,5,1,0.28039686886530896,65451544,47099136,2,3,train
DGS,LR,5,1,0.2761889314635572,65451544,47374552,2,2,train
DGS,LR,5,1,0.26879225339588625,65451544,47858676,2,1,train
DGS,LR,5,1,0.2687951257498219,65451544,47858488,2,0,train
DGS,LR,5,0,0.27992066925113335,65451544,47130304,2,4,test
DGS,LR,5,0,0.2799019072796816,65451544,47131532,2,3,train
DGS,LR,5,0,0.2750582018355442,65451544,47448560,2,2,train
DGS,LR,5,0,0.26830046973376215,65451544,47890864,2,1,train
DGS,LR,5,0,0.268301386442465,65451544,47890804,2,0,train
DGS,LR,5,2,0.28108470596201673,65451544,47054116,2,4,test
DGS,LR,5,2,0.26823263328975094,65451544,47895304,1,3,train
DGS,LR,5,2,0.26722132024876294,65451544,47961496,1,2,train
DGS,LR,5,2,0.2627585989415315,65451544,48253588,1,1,train
DGS,LR,5,2,0.26276244911808344,65451544,48253336,1,0,train
DGS,LR,5,1,0.2679167354707476,65451544,47915980,1,4,test
DGS,LR,5,1,0.26796911009463736,65451544,47912552,1,3,train
DGS,LR,5,1,0.2660757399397637,65451544,48036476,1,2,train
DGS,LR,5,1,0.2624791250149882,65451544,48271880,1,1,train
DGS,LR,5,1,0.2624830974193672,65451544,48271620,1,0,train
DGS,LR,5,0,0.267680407967152,65451544,47931448,1,4,test
DGS,LR,5,0,0.26769098067419156,65451544,47930756,1,3,train
DGS,LR,5,0,0.26222232435036213,65451544,48288688,1,1,train
DGS,LR,5,2,0.2682455283255044,65451544,47894460,1,4,test
DGS,LR,5,0,0.2622176185790208,65451544,48288996,1,0,train
DGS,LR,5,0,0.89716392328346,65451544,6730780,3,1,train
DGS,LR,5,2,0.2605926103654164,65451572,48395376,0,2,train
DGS,LR,5,2,0.25625010198379955,65451572,48679600,0,1,train
DGS,LR,5,2,0.25626483043065795,65451572,48678636,0,0,train
DGS,LR,5,1,0.260973044314352,65451572,48370476,0,4,test
DGS,LR,5,1,0.2610039679413659,65451572,48368452,0,3,train
DGS,LR,5,1,0.26038683990661066,65451572,48408844,0,2,train
DGS,LR,5,1,0.2560157302257003,65451572,48694940,0,1,train
DGS,LR,5,1,0.25601084111470995,65451572,48695260,0,0,train
DGS,LR,5,0,0.26073604465909545,65451572,48385988,0,4,test
DGS,LR,5,0,0.2607710018026763,65451572,48383700,0,3,train
DGS,LR,5,0,0.26017526362850385,65451572,48422692,0,2,train
DGS,LR,5,2,0.26120674381969006,65451572,48355180,0,3,train
DGS,LR,5,0,0.25576876900680096,65451572,48711104,0,0,train
DGS,LR,5,0,0.8930347617162401,65451544,7001040,3,0,train
DGS,LR,5,2,0.9120872687128664,65451544,5754024,3,4,test
DGS,LR,5,0,0.9014448918118723,65451544,6450584,3,2,train
DGS,LR,5,0,0.9104607219044366,65451544,5860484,3,3,train
DGS,LR,5,0,0.9116706551643763,65451544,5781292,3,4,test
DGS,LR,5,1,0.8933117299723289,65451544,6982912,3,0,train
DGS,LR,5,1,0.8974629536623308,65451544,6711208,3,1,train
DGS,LR,5,1,0.9020334187991043,65451544,6412064,3,2,train
DGS,LR,5,1,0.9096108107090644,65451544,5916112,3,3,train
DGS,LR,5,0,0.25577011351232326,65451572,48711016,0,1,train
DGS,LR,5,1,0.9119292281324944,65451544,5764368,3,4,test
DGS,LR,5,2,0.8976950031919797,65451544,6696020,3,1,train
DGS,LR,5,2,0.9022907083750384,65451544,6395224,3,2,train
DGS,LR,5,2,0.9110666052431093,65451544,5820828,3,3,train
DGS,LR,5,2,0.8935654138273652,65451544,6966308,3,0,train
DGS,LR,5,2,0.2612005102031774,65451572,48355588,0,4,test
DGS,LR,6,0,0.896396821440912,65451544,6780988,3,1,train
DGS,LR,6,0,0.8922698599745791,65451544,7051104,3,0,train
DGS,LR,6,1,0.26122842877472835,65451544,48353740,1,0,train
DGS,LR,6,1,0.26121987282683506,65451544,48354300,1,1,train
DGS,LR,6,0,0.9084924260915831,65451544,5989312,3,3,train
DGS,LR,6,1,0.2672048806060251,65451544,47962572,1,2,train
DGS,LR,6,0,0.9109000087148441,65451544,5831732,3,4,train
DGS,LR,6,1,0.892521038159161,65451544,7034664,3,0,train
DGS,LR,6,1,0.8966241651992197,65451544,6766108,3,1,train
DGS,LR,6,0,0.9005183437689415,65451544,6511228,3,2,train
DGS,LR,6,1,0.27216806375110114,65451544,47637724,1,3,train
DGS,LR,6,0,0.2549836388956403,65451572,48762492,0,0,train
DGS,LR,6,1,0.2721467349952814,65451544,47639120,1,5,test
DGS,LR,6,2,0.2604584653826191,65451572,48404156,0,4,train
DGS,LR,6,2,0.26047594395440954,65451572,48403012,0,3,train
DGS,LR,6,2,0.2598738499359496,65451572,48442420,0,2,train
DGS,LR,6,2,0.2554979733718237,65451572,48728828,0,1,train
DGS,LR,6,2,0.25550243468560235,65451572,48728536,0,0,train
DGS,LR,6,1,0.26018369734496216,65451572,48422140,0,5,test
DGS,LR,6,1,0.26019573678077584,65451572,48421352,0,4,train
DGS,LR,6,1,0.2602162099330479,65451572,48420012,0,3,train
DGS,LR,6,1,0.25957041948511184,65451572,48462280,0,2,train
DGS,LR,6,1,0.25522846112848135,65451572,48746468,0,1,train
DGS,LR,6,1,0.2552349392005436,65451572,48746044,0,0,train
DGS,LR,6,0,0.2599299524845637,65451572,48438748,0,4,train
DGS,LR,6,0,0.25995366467286685,65451572,48437196,0,3,train
DGS,LR,6,0,0.2585313611718906,65451572,48530288,0,2,train
DGS,LR,6,0,0.2549777108485645,65451572,48762880,0,1,train
DGS,LR,6,1,0.9008688931769127,65451544,6488284,3,2,train
DGS,LR,6,2,0.2732615750057783,65451544,47566152,1,4,train
DGS,LR,6,2,0.27328290376159803,65451544,47564756,1,3,train
DGS,LR,6,2,0.26770980375955683,65451544,47929524,1,2,train
DGS,LR,6,2,0.26173420752304943,65451544,48320636,1,1,train
DGS,LR,6,2,0.2617221069681718,65451544,48321428,1,0,train
DGS,LR,6,1,0.2721629912962787,65451544,47638056,1,4,train
DGS,LR,6,1,0.9085171772265601,65451544,5987692,3,3,train
DGS,LR,6,2,0.8927918950238973,65451544,7016936,3,0,train
