dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6507760,3,04/23/21 37 2021 07:37:07. 261,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6498084,3,04/23/21 37 2021 07:37:08. 278,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6388660,3,04/23/21 37 2021 07:37:09. 293,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6272388,3,04/23/21 37 2021 07:37:10. 306,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6117904,3,04/23/21 37 2021 07:37:11. 321,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6105924,3,04/23/21 37 2021 07:37:12. 332,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100304,3,04/23/21 37 2021 07:37:13. 344,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6101756,3,04/23/21 37 2021 07:37:14. 361,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100292,3,04/23/21 37 2021 07:37:15. 376,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14604288,3,04/23/21 37 2021 07:37:02. 295,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603136,3,04/23/21 37 2021 07:37:03. 320,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602740,3,04/23/21 37 2021 07:37:04. 346,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602848,3,04/23/21 37 2021 07:37:05. 371,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602704,3,04/23/21 37 2021 07:37:06. 396,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602312,3,04/23/21 37 2021 07:37:07. 421,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603740,3,04/23/21 37 2021 07:37:08. 446,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603944,3,04/23/21 37 2021 07:37:09. 472,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603432,3,04/23/21 37 2021 07:37:10. 497,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603204,3,04/23/21 37 2021 07:37:11. 522,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602492,3,04/23/21 37 2021 07:37:12. 547,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602844,3,04/23/21 37 2021 07:37:13. 572,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14604096,3,04/23/21 37 2021 07:37:14. 597,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603740,3,04/23/21 37 2021 07:37:15. 623,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684028,3,04/23/21 37 2021 07:37:02. 096,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684904,3,04/23/21 37 2021 07:37:03. 123,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684892,3,04/23/21 37 2021 07:37:04. 149,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684600,3,04/23/21 37 2021 07:37:05. 176,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684436,3,04/23/21 37 2021 07:37:06. 202,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684568,3,04/23/21 37 2021 07:37:07. 229,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684676,3,04/23/21 37 2021 07:37:08. 255,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684288,3,04/23/21 37 2021 07:37:09. 282,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14683760,3,04/23/21 37 2021 07:37:10. 308,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684508,3,04/23/21 37 2021 07:37:11. 335,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684076,3,04/23/21 37 2021 07:37:12. 361,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684956,3,04/23/21 37 2021 07:37:13. 388,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684560,3,04/23/21 37 2021 07:37:14. 415,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451488,14684400,3,04/23/21 37 2021 07:37:15. 441,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,5256972,3,04/23/21 37 2021 07:37:02. 358,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4747632,3,04/23/21 37 2021 07:37:03. 374,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4615740,3,04/23/21 37 2021 07:37:04. 387,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4576560,3,04/23/21 37 2021 07:37:05. 402,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4573776,3,04/23/21 37 2021 07:37:06. 414,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4572216,3,04/23/21 37 2021 07:37:07. 440,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4551408,3,04/23/21 37 2021 07:37:08. 478,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4545564,3,04/23/21 37 2021 07:37:09. 516,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4544152,3,04/23/21 37 2021 07:37:10. 554,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4376384,3,04/23/21 37 2021 07:37:11. 599,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4372840,3,04/23/21 37 2021 07:37:12. 611,train
