fitTime,trainCount,Iexecutors,r2,Icores,Shuffle,max_iter,platformId,runId,transformTime,testCount,trainTime,infTroughput
51401.0,474.0,1.0,0.6112674601351645,1,True,2,1,0,15991.0,132.0,108.44092827004219,8.254643236820712
46528.0,486.0,1.0,0.296224735739093,4,False,2,26,0,10965.0,120.0,95.73662551440329,10.943912448700411
51836.0,475.0,2.0,0.5732899022801303,4,True,2,27,0,11970.0,131.0,109.12842105263158,10.944026733500417
54234.0,477.0,3.0,0.3682923914439515,2,True,2,13,0,9069.0,129.0,113.69811320754717,14.224280516043663
53709.0,474.0,2.0,0.6112674601351645,1,False,2,4,0,9695.0,132.0,113.31012658227849,13.615265600825166
69599.0,471.0,4.0,0.4514618386044525,5,False,2,40,0,11204.0,135.0,147.76857749469215,12.049268118529096
48654.0,475.0,2.0,0.5732899022801303,4,False,2,28,0,9834.0,131.0,102.42947368421052,13.3211307707952
57223.0,472.0,3.0,0.7318212141427619,5,False,2,38,0,14423.0,134.0,121.23516949152543,9.290716217153157
111480.0,474.0,1.0,0.5112587697397803,3,True,10,21,0,10229.0,132.0,235.18987341772151,12.904487242154659
123189.0,477.0,3.0,0.3681978883121706,2,False,10,16,0,11362.0,129.0,258.25786163522014,11.353634923428974
129805.0,484.0,1.0,0.6036418901847951,5,False,10,42,0,14751.0,122.0,268.19214876033055,8.27062572029015
144601.0,471.0,4.0,0.4679074164127438,5,True,10,47,0,13902.0,135.0,307.0084925690021,9.710832973672852
124944.0,475.0,2.0,0.6969075669351559,5,True,10,43,0,13863.0,131.0,263.04,9.449614080646326
111026.0,486.0,1.0,0.2902304095559596,4,True,10,31,0,10674.0,120.0,228.4485596707819,11.242270938729623
125893.0,474.0,3.0,0.5112587697397803,1,False,10,6,0,9208.0,132.0,265.5970464135021,14.335360556038227
133332.0,486.0,4.0,0.2902304095559596,1,False,10,8,0,13202.0,120.0,274.34567901234567,9.089531889107711
65551.0,475.0,2.0,0.5732899022801303,4,True,10,33,0,11541.0,131.0,138.0021052631579,11.35083614938047
127889.0,477.0,2.0,0.3681978883121706,3,False,10,24,0,9313.0,129.0,268.1111111111111,13.851605282937827
111267.0,474.0,1.0,0.5112587697397803,3,False,10,22,0,9770.0,132.0,234.7405063291139,13.510747185261003
64659.0,470.0,3.0,0.6013400335008374,4,True,10,35,0,11625.0,136.0,137.5723404255319,11.698924731182796
71915.0,472.0,3.0,0.7318212141427619,5,False,10,46,0,13622.0,134.0,152.36228813559322,9.837028336514463
123335.0,486.0,4.0,0.2902304095559596,1,True,10,7,0,12784.0,120.0,253.77572016460906,9.386733416770964
115262.0,474.0,1.0,0.6110545903929789,2,False,10,12,0,9933.0,132.0,243.168776371308,13.289036544850498
140172.0,474.0,2.0,0.6110545903929789,1,True,10,3,0,13635.0,132.0,295.72151898734177,9.68096809680968
197224.0,471.0,4.0,0.4679074164127438,5,False,10,48,0,13915.0,135.0,418.73460721868366,9.701760689902983
64176.0,472.0,3.0,0.7318212141427618,5,True,10,45,0,11354.0,134.0,135.96610169491527,11.802008102871236
63814.0,474.0,3.0,0.7131901840490797,3,True,10,25,0,11592.0,132.0,134.62869198312237,11.387163561076605
142080.0,474.0,1.0,0.6110545903929789,1,False,10,2,0,16327.0,132.0,299.746835443038,8.084767562932566
115455.0,474.0,1.0,0.6110545903929789,2,True,10,11,0,10043.0,132.0,243.5759493670886,13.143483023001096
113605.0,486.0,1.0,0.2902304095559596,4,False,10,32,0,10401.0,120.0,233.7551440329218,11.537352177675224
118817.0,486.0,2.0,0.2902304095559596,2,False,10,14,0,9133.0,120.0,244.47942386831275,13.139165662980401
69868.0,475.0,2.0,0.5732899022801303,4,False,10,34,0,11901.0,131.0,147.09052631578948,11.00747836316276
106517.0,477.0,3.0,0.3681978883121706,2,True,10,15,0,8972.0,129.0,223.30607966457023,14.378065091395452
106243.0,477.0,2.0,0.3681978883121706,3,True,10,23,0,9304.0,129.0,222.73165618448638,13.86500429922614
71083.0,470.0,3.0,0.6013400335008374,4,False,10,36,0,9676.0,136.0,151.2404255319149,14.055394791236047
126418.0,474.0,4.0,0.11883679780728584,4,True,10,37,0,9691.0,132.0,266.704641350211,13.62088535754824
69043.0,475.0,4.0,0.5732899022801303,2,True,10,17,0,10060.0,131.0,145.35368421052632,13.021868787276341
141121.0,475.0,2.0,0.6969075669351559,5,False,10,44,0,11094.0,131.0,297.09684210526314,11.808184604290608
67452.0,475.0,4.0,0.5732899022801303,2,False,10,18,0,8826.0,131.0,142.0042105263158,14.842510763652843
